Model Name,Number of Features,Features Used,R2 Score,Mean Square Error,Mean Absolute Error,Mean Square Log Error,ranking
Linear Regression,2,"['drying_time', 'ambient_temperature']",0.00014866642836608435,0.0036681802246771463,0.052608189376878355,0.002859120643676043,9.0
Support Vector Regression,2,"['drying_time', 'ambient_temperature']",-0.00034995730179465667,0.0036700095383412046,0.052634214973720235,0.0028595342472131613,28.0
Decision Tree Regression,2,"['drying_time', 'ambient_temperature']",-0.9933956544131011,0.007313221750032922,0.06993581814367358,0.005683810158215505,68.0
Random Forest Regression,2,"['drying_time', 'ambient_temperature']",-0.17249517842913664,0.004301563125069257,0.05565441152031913,0.0033489290173300402,55.0
Multi Perception Neural Network,2,"['drying_time', 'ambient_temperature']",-0.01542691798092255,0.003725322770573294,0.05291787504631763,0.0029038804686825157,38.0
Linear Regression,2,"['drying_time', 'relative_humidity']",-0.00011531592520586109,0.003669148703506471,0.05262227935078197,0.002859922061613348,21.0
Support Vector Regression,2,"['drying_time', 'relative_humidity']",0.0010117496052008956,0.0036650138092959635,0.052600104687221906,0.0028556181109697007,1.0
Decision Tree Regression,2,"['drying_time', 'relative_humidity']",-0.9731437794551523,0.007238923177096069,0.06972108024649704,0.005623312900380282,63.0
Random Forest Regression,2,"['drying_time', 'relative_humidity']",-0.1544465034815674,0.004235347488502766,0.05535327386747144,0.003298039075264343,53.0
Multi Perception Neural Network,2,"['drying_time', 'relative_humidity']",-0.00493407807678703,0.0036868274197699286,0.052721417626316006,0.002874941643411397,32.0
Linear Regression,2,"['ambient_temperature', 'relative_humidity']",0.00021607150255587015,0.0036679329339531315,0.052604855195230754,0.0028590505653835418,3.0
Support Vector Regression,2,"['ambient_temperature', 'relative_humidity']",0.00012211779135029577,0.0036682776243424997,0.05261837884259148,0.002858265149962622,11.0
Decision Tree Regression,2,"['ambient_temperature', 'relative_humidity']",-0.9892963638498551,0.0072981825776335715,0.06936630763175142,0.005675827563136351,66.0
Random Forest Regression,2,"['ambient_temperature', 'relative_humidity']",-0.14729494942692223,0.004209110398769386,0.05509000876391815,0.0032756784144135076,51.0
Multi Perception Neural Network,2,"['ambient_temperature', 'relative_humidity']",-0.01456398499635414,0.003722156906206331,0.052948817366426634,0.0028955996111660197,37.0
Linear Regression,3,"['drying_temperature', 'drying_time', 'ambient_temperature']",8.510743726597436e-05,0.003668413405177512,0.052606062013453435,0.0028593036524837954,14.0
Support Vector Regression,3,"['drying_temperature', 'drying_time', 'ambient_temperature']",0.0001965387907770788,0.0036680045941136726,0.05262543644477747,0.0028580004924438824,4.0
Decision Tree Regression,3,"['drying_temperature', 'drying_time', 'ambient_temperature']",-1.0121450766497722,0.007382008236146811,0.07007769210444914,0.00574412654801373,69.0
Random Forest Regression,3,"['drying_temperature', 'drying_time', 'ambient_temperature']",-0.0953020285701085,0.004018362636870737,0.054405290370417754,0.003129399911808637,50.0
Multi Perception Neural Network,3,"['drying_temperature', 'drying_time', 'ambient_temperature']",-0.028193364961934364,0.0037721593619571892,0.05324984287050768,0.0029309169756075414,44.0
Linear Regression,3,"['drying_temperature', 'drying_time', 'relative_humidity']",-0.0001791109316180428,0.003669382749882264,0.05262070395207606,0.00286010550323479,26.0
Support Vector Regression,3,"['drying_temperature', 'drying_time', 'relative_humidity']",7.202182917309674e-05,0.0036684614126834504,0.052623033939059746,0.0028584856560603354,15.0
Decision Tree Regression,3,"['drying_temperature', 'drying_time', 'relative_humidity']",-0.9695424888260922,0.007225711029824489,0.06920897454761567,0.005613597634083299,62.0
Random Forest Regression,3,"['drying_temperature', 'drying_time', 'relative_humidity']",-0.08406921391697653,0.003977152521732025,0.05400777931762493,0.0030973955858863474,48.0
Multi Perception Neural Network,3,"['drying_temperature', 'drying_time', 'relative_humidity']",-0.023545054667903687,0.0037551059867940856,0.05302970640732848,0.0029364161040220296,41.0
Linear Regression,3,"['drying_temperature', 'ambient_temperature', 'relative_humidity']",0.00015614247349049482,0.0036681527971187044,0.05260332076797741,0.0028592229263468263,8.0
Support Vector Regression,3,"['drying_temperature', 'ambient_temperature', 'relative_humidity']",0.000723927475829389,0.0036660697497220406,0.05257644074097573,0.0028567545420520586,2.0
Decision Tree Regression,3,"['drying_temperature', 'ambient_temperature', 'relative_humidity']",-1.0204113220011877,0.00741233482242247,0.07042826435929381,0.005760567731306574,72.0
